UID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_diff,Power_proxy,Tool_wear_norm,FailureMode
1,L,297.5,308.9,1443,43.5,2.0,0,0,0,0,0,0,11.399999999999977,6573.311388738604,0.008695652173913044,NORMAL
2,L,300.3,309.9,1518,36.4,4.0,0,0,0,0,0,0,9.599999999999966,5786.311013087825,0.017391304347826087,NORMAL
3,L,303.6,312.4,2232,16.8,6.8,1,0,0,1,0,0,8.799999999999955,3926.739489574954,0.029565217391304348,PWF
4,L,302.2,310.6,1462,43.6,8.8,0,0,0,0,0,0,8.400000000000034,6675.172294543498,0.0382608695652174,NORMAL
5,L,301.3,311.1,1624,40.9,10.8,0,0,0,0,0,0,9.800000000000011,6955.653686655993,0.04695652173913044,NORMAL
6,L,297.5,308.6,1621,28.9,12.8,0,0,0,0,0,0,11.100000000000023,4905.795896115189,0.05565217391304348,NORMAL
7,L,298.6,309.0,1456,47.7,15.6,0,0,0,0,0,0,10.399999999999977,7272.912656766515,0.06782608695652174,NORMAL
8,L,297.1,308.5,1555,36.2,17.6,0,0,0,0,0,0,11.399999999999977,5894.7797354407685,0.0765217391304348,NORMAL
9,L,303.9,313.1,1665,29.6,19.6,0,0,0,0,0,0,9.200000000000045,5161.0084113173125,0.08521739130434783,NORMAL
10,L,301.6,310.6,1455,43.9,21.6,0,0,0,0,0,0,9.0,6688.921998390708,0.09391304347826088,NORMAL
11,L,298.8,308.9,1398,51.5,24.4,0,0,0,0,0,0,10.099999999999966,7539.508209350145,0.10608695652173913,NORMAL
12,L,302.6,312.1,1288,68.5,27.2,1,0,0,1,0,0,9.5,9239.214554697342,0.1182608695652174,PWF
13,L,298.7,309.8,1530,35.5,29.2,1,0,0,0,0,1,11.100000000000023,5687.85349932432,0.12695652173913044,RNF
14,L,299.7,309.3,1445,42.6,31.2,0,0,0,0,0,0,9.600000000000023,6446.233965900896,0.1356521739130435,NORMAL
15,L,301.9,309.7,1719,31.9,33.2,0,0,0,0,0,0,7.800000000000011,5742.422963717175,0.14434782608695654,NORMAL
16,L,299.2,309.0,1408,47.2,36.0,0,0,0,0,0,0,9.800000000000011,6959.4235978403,0.1565217391304348,NORMAL
17,L,300.7,309.5,1461,49.9,38.8,0,0,0,0,0,0,8.800000000000011,7634.478555268163,0.16869565217391302,NORMAL
18,L,299.1,308.5,1415,43.4,40.8,1,0,1,0,0,0,9.399999999999977,6430.944881653426,0.17739130434782607,HDF
19,L,297.4,308.4,2151,17.7,43.6,1,0,0,1,0,0,11.0,3986.9638207442704,0.18956521739130433,PWF
20,L,298.0,308.1,1877,24.3,46.4,0,0,0,0,0,0,10.100000000000023,4776.383222738314,0.20173913043478256,NORMAL
21,L,300.0,311.4,1634,31.9,48.4,0,0,0,0,0,0,11.399999999999977,5458.475347710218,0.2104347826086956,NORMAL
22,L,301.5,310.9,1451,40.6,50.4,0,0,0,0,0,0,9.399999999999977,6169.1036059522285,0.21913043478260866,NORMAL
23,L,302.0,310.8,1454,36.6,52.4,0,0,0,0,0,0,8.800000000000011,5572.808376349863,0.2278260869565217,NORMAL
24,L,303.5,312.1,1674,30.8,54.4,0,0,0,0,0,0,8.600000000000023,5399.266798165562,0.23652173913043475,NORMAL
25,L,303.7,312.9,1502,40.5,56.4,0,0,0,0,0,0,9.199999999999989,6370.207423684023,0.24521739130434778,NORMAL
26,L,298.0,308.3,1662,32.7,58.4,0,0,0,0,0,0,10.300000000000011,5691.246419390198,0.2539130434782608,NORMAL
27,L,299.3,310.8,1426,42.4,60.4,0,0,0,0,0,0,11.5,6331.607721946916,0.2626086956521739,NORMAL
28,L,300.8,310.7,1633,27.8,62.4,0,0,0,0,0,0,9.899999999999977,4754.004611069243,0.2713043478260869,NORMAL
29,L,301.0,310.1,1558,32.6,64.4,0,0,0,0,0,0,9.100000000000023,5318.800138331616,0.27999999999999997,NORMAL
30,L,297.4,308.4,1571,39.4,66.4,0,0,0,0,0,0,11.0,6481.880570543628,0.288695652173913,NORMAL
31,L,303.3,311.4,1958,21.5,69.2,0,0,0,0,0,0,8.099999999999966,4408.387531272318,0.3008695652173913,NORMAL
32,L,297.7,307.1,1715,30.2,71.2,0,0,0,0,0,0,9.400000000000034,5423.7502769125385,0.3095652173913043,NORMAL
33,L,302.1,311.2,1454,46.8,74.0,0,0,0,0,0,0,9.099999999999966,7125.886120578512,0.3217391304347825,NORMAL
34,L,303.2,311.5,1513,37.9,76.0,0,0,0,0,0,0,8.300000000000011,6004.913501900114,0.3304347826086956,NORMAL
35,L,297.2,308.1,1662,31.3,78.0,0,0,0,0,0,0,10.900000000000034,5447.584493177773,0.3391304347826086,NORMAL
36,L,304.4,313.6,1568,39.1,80.0,0,0,0,0,0,0,9.200000000000045,6420.242522680197,0.3478260869565217,NORMAL
37,L,299.0,308.7,1396,48.6,82.8,0,0,0,0,0,0,9.699999999999989,7104.774617946389,0.35999999999999993,NORMAL
38,L,300.0,309.1,1401,44.5,84.8,1,0,1,0,0,0,9.100000000000023,6528.700773057628,0.368695652173913,HDF
39,L,297.8,309.0,1403,64.2,87.6,1,0,0,1,0,0,11.199999999999989,9432.380614991067,0.38086956521739124,PWF
40,L,297.5,309.6,1312,50.7,90.4,0,0,0,0,0,0,12.100000000000023,6965.790558951576,0.39304347826086944,NORMAL
41,L,301.7,310.8,1622,37.8,92.4,0,0,0,0,0,0,9.100000000000023,6420.535737994532,0.4017391304347825,NORMAL
42,L,297.3,308.1,1468,49.8,95.2,0,0,0,0,0,0,10.800000000000011,7655.684305679895,0.41391304347826074,NORMAL
43,L,298.3,308.1,1586,35.5,97.2,0,0,0,0,0,0,9.800000000000011,5896.036372502204,0.4226086956521738,NORMAL
44,L,298.8,310.6,1651,33.3,99.2,0,0,0,0,0,0,11.800000000000011,5757.31411289519,0.43130434782608684,NORMAL
45,L,303.8,313.0,1427,43.0,101.2,1,0,1,0,0,0,9.199999999999989,6425.708893897444,0.4399999999999999,HDF
46,L,300.6,311.3,1531,38.5,103.2,0,0,0,0,0,0,10.699999999999989,6172.548885895666,0.44869565217391294,NORMAL
47,L,302.3,311.7,1281,48.8,106.0,1,0,1,0,0,0,9.399999999999977,6546.325107844267,0.4608695652173912,HDF
